,orderId,orderDate,orderStatus,name,sku,quantity,amountPaid,TwoPacksSold,totalAmountPaid,total2PacksSold
0,902243115,2021-08-14T10:06:44.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
1,902311515,2021-08-14T13:45:54.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,14.11,1.0,,
2,902378597,2021-08-14T14:27:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,14.99,1.0,,
3,902378505,2021-08-14T16:25:35.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,15.6,1.0,,
4,902898736,2021-08-15T18:38:44.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,14.06,1.0,,
5,903404227,2021-08-16T11:46:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,21.07,1.0,,
6,903632294,2021-08-16T19:17:00.0000000,shipped,Saucemoto® Dip Clip - Red / 4-Pack,M1010-4,1,26.29,2.0,,
7,903690126,2021-08-16T22:45:16.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
8,904270335,2021-08-17T20:34:30.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1030-02/BLK,1,14.03,1.0,,
9,904595770,2021-08-18T10:54:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,11.99,1.0,,
10,904689793,2021-08-18T14:00:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,26.99,5.0,,
11,904758843,2021-08-18T16:31:30.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,28.24,5.0,,
12,904823563,2021-08-18T19:10:11.0000000,shipped,Saucemoto® Dip Clip - Red / 2-Pack,M1010-2,1,9.75,1.0,,
13,904867194,2021-08-18T20:28:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
14,905194469,2021-08-19T10:45:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
15,905790662,2021-08-20T11:07:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
16,905790614,2021-08-20T12:13:47.0000000,shipped,Saucemoto® Dip Clip | An in-car sauce holder for ketchup and dipping sauces | As seen on Shark Tank,M1010-02/RED,1,14.03,1.0,,
17,906022004,2021-08-20T18:27:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,14.99,1.0,,
18,906248855,2021-08-21T11:19:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,29.99,5.0,,
19,906415415,2021-08-21T18:32:13.0000000,shipped,Extra Sauce Cup,M1000,1,12.74,0,,
20,906472473,2021-08-22T00:57:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (2 Pack, Barbie-Q-Pink)",M1070-02/PNK,1,14.99,1.0,,
21,906603636,2021-08-22T10:37:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
22,906673257,2021-08-22T11:44:00.0000000,shipped,Saucemoto® Dip Clip - Red / 10-Pack,M1010-10/RED,1,26.99,5.0,,
23,906746857,2021-08-22T14:16:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
24,906746861,2021-08-22T15:40:00.0000000,shipped,Saucemoto® Dip Clip - Black / 4-Pack,M1030-4-JP,1,18.99,2.0,,
25,906746781,2021-08-22T15:41:59.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
26,906746777,2021-08-22T15:43:50.0000000,shipped,Saucemoto® Easy Gift Pack - Chick-fil-A / Red,RED/02+CFA10,1,17.6,1.0,,
27,906746859,2021-08-22T15:45:00.0000000,shipped,"Saucemoto Dip Clip | An in-car sauce holder for ketchup and dipping sauces. As seen on Shark Tank (10 Pack, Black)",M1030-10/BLK,1,27.99,5.0,,
28,906746771,2021-08-22T15:45:07.0000000,shipped,Saucemoto® Dip Clip - Black / 2-Pack,M1030-2,1,9.75,1.0,,
